Num_Acc,road_type,road_surface,infrastructure,situation,speed_limit,road_profile,road_layout
202400000710,4,1,0,1,30,1,1
202400000711,4,1,-1,5,50,1,1
202400000712,4,1,0,1,30,2,1
202400000713,4,1,0,5,50,1,1
202400000714,4,1,8,1,30,1,1
202400000715,7,1,0,1,30,1,1
202400000716,4,1,0,1,50,1,1
202400000717,4,2,0,1,50,2,1
202400000718,4,1,0,1,50,1,1
202400000719,2,1,3,1,50,1,3
202400000720,3,1,0,1,50,1,1
202400000721,4,1,0,4,30,1,1
202400000722,4,1,6,1,10,1,1
202400000723,4,1,6,4,1,1,1
202400000724,7,2,0,1,50,1,3
